rule,object,detail,severity,notes
0011_function_search_path_mutable,array_to_halfvec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_halfvec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_halfvec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_halfvec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_sparsevec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_sparsevec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_sparsevec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_sparsevec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_vector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_vector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_vector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,array_to_vector,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,avg,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,avg,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,binary_quantize,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,binary_quantize,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,cosine_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,cosine_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,cosine_distance,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec,extension_owned=yes,false-positive,pgvector/extension function; not user code
0011_function_search_path_mutable,halfvec_accum,extension_owned=yes,false-positive,pgvector/extension function; not user code
