relname,rls_enabled,force_rls,has_organization_id,has_user_col,policies,cmds,anon_select,authenticated_grant,service_role_grant
accelerator_policies,t,f,t,f,2,ALL|SELECT,f,f,f
acceptance_effect_jobs,t,f,t,f,1,ALL,f,f,f
account_partners,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
account_rfm_snapshots,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
account_tags,t,f,t,f,3,DELETE|INSERT|SELECT,f,f,f
accounts,t,f,t,t,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
achievements,t,f,t,f,2,ALL|SELECT,f,f,f
action_executions,t,f,t,f,2,INSERT|SELECT,f,f,f
action_registry,t,f,f,f,2,ALL|SELECT,f,f,f
activation_checklist,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
activities,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
activity_logs,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
activity_mappings,t,f,t,f,2,ALL|SELECT,f,f,f
activity_participants,t,f,t,t,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
activity_targets,t,f,t,f,2,ALL|SELECT,f,f,f
admin_access_logs,t,f,f,t,2,INSERT|SELECT,f,f,f
agent_guardrails,t,f,t,f,2,SELECT|UPDATE,f,f,f
ai_actions,t,f,t,f,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_approval_queue,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
ai_agent_audit,t,f,t,f,2,INSERT|SELECT,f,f,f
ai_agent_bindings,t,f,t,f,2,INSERT|SELECT,f,f,f
ai_agent_environments,t,f,t,f,1,ALL,f,f,f
ai_agent_escalation_policies,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_execution_actions,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
ai_agent_execution_policies,t,f,t,f,1,ALL,f,f,f
ai_agent_execution_runs,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
ai_agent_feedback,t,f,t,f,2,INSERT|SELECT,f,f,f
ai_agent_impact_events,t,f,t,f,2,INSERT|SELECT,f,f,f
ai_agent_memory_profiles,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_permissions,t,f,t,t,1,ALL,f,f,f
ai_agent_prompt_layers,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_publish_history,t,f,t,f,1,ALL,f,f,f
ai_agent_rulesets,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_run_outcomes,t,f,t,f,1,ALL,f,f,f
ai_agent_simulation_feedback,t,f,t,t,1,ALL,f,f,f
ai_agent_simulation_runs,t,f,t,f,1,ALL,f,f,f
ai_agent_test_scenarios,t,f,t,f,5,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_tools,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_triggers,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
ai_agent_validation_reports,t,f,t,f,1,ALL,f,f,f
ai_agent_versions,t,f,t,f,3,INSERT|SELECT|UPDATE,f,f,f
ai_agents,t,f,t,f,4,DELETE|INSERT|SELECT|UPDATE,f,f,f
