module_id,module_name,route,primary_classification,secondary_classification,tenant_maturity_level,current_status,core_dependency,eventrix_dependency,legal_hardcode_count,main_risk,recommended_destination,evidence,notes
M01,Dashboard,/app/dashboard,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/Dashboard.tsx,Routing por seller_role
M02,Accounts,/app/accounts,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/services/supabase/accounts.ts,Tenant-aware RLS + nsec12 guards
M03,Account Detail,/app/accounts/:id,CORE_UNIVERSAL,,3,active,M02,none,0,none,CORE_UNIVERSAL,src/pages/AccountDetail.tsx,
M04,Contacts,embedded in accounts,CORE_UNIVERSAL,,3,active,M02,none,0,none,CORE_UNIVERSAL,src/services/supabase/contacts.ts,
M05,Opportunities,/app/opportunities,CORE_UNIVERSAL,,3,active,M02,none,0,none,CORE_UNIVERSAL,src/services/supabase/opportunities.ts,duplicateOpportunity implementado
M06,Opportunity Detail,/app/opportunities/:id,CORE_UNIVERSAL,,3,active,M05,none,0,none,CORE_UNIVERSAL,src/pages/OpportunityDetail.tsx,
M07,Activities,/app/activities,CORE_UNIVERSAL,,3,active,M05,none,0,none,CORE_UNIVERSAL,src/services/supabase/activities.ts,
M08,Leads,/app/leads,CORE_UNIVERSAL,,3,active,M02,none,0,none,CORE_UNIVERSAL,src/pages/Leads.tsx,
M09,Pipelines Settings,/app/settings/pipelines,TENANT_CONFIG,,3,active,none,none,0,low,TENANT_CONFIG,src/pages/PipelineSettings.tsx,Tenant configura pipelines/stages
M10,Proposals,/app/proposals,CORE_UNIVERSAL,,3,active,M05,none,0,low,CORE_UNIVERSAL,src/services/proposals/,
M11,Proposal Editor,/app/proposals/:id/edit,CORE_UNIVERSAL,,3,active,M10,none,0,none,CORE_UNIVERSAL,src/pages/ProposalEditor.tsx,
M12,Proposal Public View,/p/:token,CORE_UNIVERSAL,,3,active,M10,none,1,medium,CORE_UNIVERSAL,src/components/proposals/PublicProposalApprovedScreen.tsx:233,HARDCODE 'equipe LEGAL'
M13,Proposal Templates,/app/settings/proposal-templates,TENANT_CONFIG,,3,active,M10,none,0,none,TENANT_CONFIG,src/pages/settings/ProposalTemplateEditor.tsx,
M14,Proposal Layouts,/app/settings/proposal-layouts,TENANT_CONFIG,,3,active,M10,none,0,none,TENANT_CONFIG,src/pages/settings/ProposalLayouts.tsx,
M15,Dynamic Pricing Rules,/app/settings/pricing-factor-rules,TENANT_CONFIG,,3,active,M10,none,0,medium,TENANT_CONFIG,src/services/proposals/proposalPricingGuard.ts,Regras vertical residem no tenant
M16,Contracts,/app/contracts,CORE_UNIVERSAL,,3,active,M05,none,0,none,CORE_UNIVERSAL,src/pages/Contracts.tsx,
M17,Products,/app/products,TENANT_CONFIG,OPTIONAL_INTEGRATION,2,active,none,soft,0,high,TENANT_CONFIG,src/pages/Products.tsx,BOM/inventory requirements acoplam Eventrix
M18,Product Editor,/app/products/:id/edit,TENANT_CONFIG,OPTIONAL_INTEGRATION,2,active,M17,soft,0,high,TENANT_CONFIG,src/components/products/ProductInventoryRequirementsEditor.tsx,eventrix_category_id/family_id no schema
M19,Product Categories,/app/settings/product-categories,TENANT_CONFIG,,3,active,M17,none,0,low,TENANT_CONFIG,src/pages/settings/ProductCategories.tsx,
M20,Product BOM Editor,component,TENANT_CONFIG,VERTICAL_PACK,2,active,M17,soft,0,high,VERTICAL_PACK,src/components/products/ProductBOMEditor.tsx:85,Texto Eventrix-specific
M21,Forecast,/app/forecast,CORE_UNIVERSAL,,3,active,M05,none,0,none,CORE_UNIVERSAL,src/pages/Forecast.tsx,SSoT commercial_won_revenue_view
M22,Revenue Command,/app/revenue-command,CORE_UNIVERSAL,,3,active,M05,none,0,none,CORE_UNIVERSAL,src/pages/RevenueCommandPage.tsx,
M23,War Room,inside Revenue Command,CORE_UNIVERSAL,,3,active,M22,none,0,none,CORE_UNIVERSAL,src/components/revenue-command/war-room/,
M24,Win/Loss Hub,/app/intelligence/winloss,CORE_UNIVERSAL,,3,active,M05,none,0,none,CORE_UNIVERSAL,src/components/intelligence/winloss/,
M25,Scoring,/app/scoring,CORE_UNIVERSAL,,3,active,M05,none,0,none,CORE_UNIVERSAL,src/pages/Scoring.tsx,
M26,OTE Reports,/app/reports/ote,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/OTEReport.tsx,
M27,Sales Config,/app/settings/sales-config,TENANT_CONFIG,,3,active,none,none,0,none,TENANT_CONFIG,src/pages/settings/SalesConfigPage.tsx,
M28,Seller Targets,/app/settings/seller-targets,TENANT_CONFIG,,3,active,M26,none,0,none,TENANT_CONFIG,src/pages/settings/SellerTargetsPage.tsx,
M29,Objetivos / Desempenho,/app/objetivos/desempenho,CORE_UNIVERSAL,,3,active,M26,none,0,none,CORE_UNIVERSAL,src/pages/DesempenhoPage.tsx,
M30,Insights,/app/insights,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/Insights.tsx,
M31,Reports,/app/reports,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/Reports.tsx,
M32,Automation & Sequences,/app/automation,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/AutomationAndSequences.tsx,
M33,Email Templates,/app/email-templates,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/EmailTemplates.tsx,
M34,Notifications Center,/app/notifications,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/NotificationsHistory.tsx,
M35,Kairós Hub,/app/intelligence/kairos,CORE_UNIVERSAL,VERTICAL_PACK,3,active,none,none,0,medium,CORE_UNIVERSAL,src/pages/intelligence/KairosHub.tsx,ExpoFP provider vertical-eventos
M36,Apollo ROI,/app/intelligence/apollo-roi,CORE_UNIVERSAL,OPTIONAL_INTEGRATION,3,active,M35,none,0,none,CORE_UNIVERSAL,src/pages/intelligence/ApolloRoi.tsx,
M37,Experiments Hub,/app/intelligence/experiments,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/intelligence/ExperimentsHub.tsx,
M38,Optimization Hub,/app/intelligence/optimization,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/intelligence/OptimizationHub.tsx,
M39,Knowledge Graph,/app/intelligence/graph,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/app/intelligence/KnowledgeGraph.tsx,
M40,Memories,/app/intelligence/memories,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/components/memory/,
M41,Playbooks,/app/intelligence/playbooks,CORE_UNIVERSAL,VERTICAL_PACK,3,active,none,none,0,medium,CORE_UNIVERSAL,src/components/playbook/,Conteúdo playbook vertical
M42,Skills Library,/app/intelligence/skills,CORE_UNIVERSAL,VERTICAL_PACK,3,active,none,none,0,medium,CORE_UNIVERSAL,src/pages/intelligence/skills/,
M43,Vibe Selling,/app/intelligence/vibe,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/components/vibe/,
M44,Noid Intelligence (Agents / Approvals / MCP),/app/settings/noid-intelligence,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/settings/noid-intelligence/,~18 subrotas
M45,Roleplay,/app/roleplay,CORE_UNIVERSAL,VERTICAL_PACK,2,active,none,none,0,high,CORE_UNIVERSAL,src/services/roleplay/archetypes.ts:6,Archetypes = Organizador/Expositor/Agência/Empresa
M46,Roleplay Admin,/app/roleplay/admin,CORE_UNIVERSAL,VERTICAL_PACK,2,active,M45,none,0,high,CORE_UNIVERSAL,src/pages/roleplay/,
M47,Video Library,/app/roleplay/videos,CORE_UNIVERSAL,,3,active,none,none,0,none,CORE_UNIVERSAL,src/pages/roleplay/VideoLibrary.tsx,
M48,Inventory (Operations),/app/operations/inventory,VERTICAL_PACK,OPTIONAL_INTEGRATION,1,active,none,tight,0,critical,VERTICAL_PACK,src/lib/operations/inventoryEquipmentProfile.ts,Schema IMEI/ICCID/WiFi = pack conectividade
M49,Noid Inventory Backup,/app/settings/noid-inventory-backup,VERTICAL_PACK,,2,active,M48,none,0,medium,VERTICAL_PACK,src/pages/settings/NoidInventoryBackupPage.tsx,
M50,Eventrix Inventory Settings,/app/settings/eventrix-inventory,OPTIONAL_INTEGRATION,,2,active,none,tight,0,high,OPTIONAL_INTEGRATION,src/pages/settings/EventrixInventorySettings.tsx,Config integração
